date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:35	138617/138617	---MCZ	200	added ('OK')	text/html	etag:%226361f8a4-21d79%22	https://htmldemo.net/bucker/bucker/index.html	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/index.html	(from )
09:08:36	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Oct%202025%2008:08:37%20GMT	https://htmldemo.net/robots.txt		(from )
09:08:43	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Oct%202025%2008:08:44%20GMT	https://gmpg.org/xfn/11	/home/hoyindamola/websites/catchybakery/gmpg.org/xfn/11.html	(from https://htmldemo.net/bucker/bucker/index.html)
09:08:43	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Oct%202025%2008:08:44%20GMT	https://htmldemo.net/bucker/bucker/Replace_with_your_PAGE_URL	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/Replace_with_your_PAGE_URL	(from https://htmldemo.net/bucker/bucker/index.html)
09:08:54	174/174	---M--	200	added ('OK')	image/webp	etag:%2262e497a6-1bf%22	https://hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-32x32.png	/home/hoyindamola/websites/catchybakery/hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-32x32.webp	(from https://htmldemo.net/bucker/bucker/index.html)
09:08:55	786/786	---M--	200	added ('OK')	image/webp	etag:%2262e4a344-d92%22	https://hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-192x192.png	/home/hoyindamola/websites/catchybakery/hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-192x192.webp	(from https://htmldemo.net/bucker/bucker/index.html)
09:08:56	1809/1809	---M--	200	added ('OK')	image/png	etag:%2262e4a33d-130e%22	https://hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-180x180.png	/home/hoyindamola/websites/catchybakery/hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-180x180.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:08:58	10229/10229	---M--	200	added ('OK')	image/png	etag:%2262e49fcc-27f5%22	https://hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-270x270.png	/home/hoyindamola/websites/catchybakery/hasthemes.com/wp-content/uploads/2019/04/cropped-favicon-270x270.png	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:00	194859/194859	---MCZ	200	added ('OK')	text/css	etag:%226361f8e7-2f92b%22	https://htmldemo.net/bucker/bucker/assets/css/vendor/bootstrap.min.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:00	1895/1895	---MCZ	200	added ('OK')	text/css	etag:%2268cddc01-767%22	https://htmldemo.net/bucker/bucker/assets/css/slick.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/slick.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:00	3401/3401	---MCZ	200	added ('OK')	text/css	etag:%226361f8c2-d49%22	https://htmldemo.net/bucker/bucker/assets/css/owl.carousel.min.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/owl.carousel.min.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:02	62449/62449	---MCZ	200	added ('OK')	text/css	etag:%226361f8bf-f3f1%22	https://htmldemo.net/bucker/bucker/assets/css/ionicons.min.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/ionicons.min.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:03	10374/10374	---MCZ	200	added ('OK')	text/css	etag:%2268cddc01-2886%22	https://htmldemo.net/bucker/bucker/assets/css/pe-icon-7-stroke.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/pe-icon-7-stroke.css	(from https://htmldemo.net/bucker/bucker/index.html)
09:09:04	72923/72923	---MCZ	200	added ('OK')	text/css	etag:%226361f8bc-11cdb%22	https://htmldemo.net/bucker/bucker/assets/css/animate.css	/home/hoyindamola/websites/catchybakery/htmldemo.net/bucker/bucker/assets/css/animate.css	(from https://htmldemo.net/bucker/bucker/index.html)
